时间,温度℃,气压hPa,相对湿度%,风向/度,风速m/s,降水mm,测点,经度,纬度,,,
4/2/2019 14:00,9.9,1016.8,58,148/SSE,5.6,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 15:00,9.9,1016.5,58,115/ESE,4.2,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 16:00,9.4,1016.6,61,151/SSE,4.9,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 17:00,9,1016.9,65,148/SSE,3.5,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 18:00,8.8,1017.2,65,171/S,2.6,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 19:00,8.5,1017.4,67,149/SSE,2.7,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 20:00,8.2,1018,68,179/S,1.8,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 21:00,7.8,1019.1,73,143/SE,2,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 22:00,7.6,1019.6,80,245/WSW,3.9,0,54853,120.42,36.17,山东,青岛,崂山
4/2/2019 23:00,7,1019.7,72,291/WNW,5.2,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 0:00,6.2,1020.1,68,13/NNE,0.5,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 1:00,5.5,1020,71,292/WNW,1.1,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 2:00,5.3,1019.7,50,320/NW,2.6,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 3:00,5.7,1019.9,39,304/NW,2.8,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 4:00,4.7,1020.1,51,306/NW,3.1,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 5:00,4.5,1020.3,55,307/NW,3.3,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 6:00,4.2,1020.6,65,298/WNW,2.9,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 7:00,5.5,1020.9,65,313/NW,1.9,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 8:00,8.9,1021,73,316/NW,2.5,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 9:00,11.9,1021.1,29,141/SE,2.9,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 10:00,11.7,1021.7,29,132/SE,2.7,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 11:00,11,1021.4,42,153/SSE,4.3,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 12:00,11.4,1020.6,38,137/SE,4.1,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 13:00,11.5,1020,28,158/SSE,5.6,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 14:00,11.7,1019.2,37,164/SSE,4.6,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 15:00,11.1,1018.3,41,108/ESE,5.1,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 16:00,10.2,1017.8,55,158/SSE,5.1,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 17:00,9.4,1017.5,61,142/SE,3.4,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 18:00,8.8,1017.3,64,137/SE,2.2,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 19:00,8.3,1017.7,67,135/SE,1.8,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 20:00,8,1017.9,67,146/SE,1.2,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 21:00,7.7,1017.6,67,118/ESE,1.7,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 22:00,7.4,1017.4,75,171/S,1.2,0,54853,120.42,36.17,山东,青岛,崂山
4/3/2019 23:00,7.2,1017.4,57,97/E,2.6,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 0:00,7.2,1017,65,104/ESE,2.4,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 1:00,7,1016.6,72,119/ESE,0.6,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 2:00,6.6,1015.6,71,0/N,0,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 3:00,6.3,1015.3,60,20/NNE,1.3,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 4:00,6.2,1014.7,61,70/ENE,1,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 5:00,6.1,1014.7,72,129/SE,0.3,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 6:00,6.5,1014.4,85,129/SE,1.3,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 7:00,7.9,1014.1,76,89/E,0.4,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 8:00,10,1013.9,75,103/ESE,4.1,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 9:00,11,1013.8,69,106/ESE,5,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 10:00,11.8,1013.6,59,150/SSE,4,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 11:00,12.8,1012.5,60,125/SE,4.5,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 12:00,12.9,1011.4,59,135/SE,3.5,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 13:00,13,1010.1,61,133/SE,4,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 14:00,12.4,1008.8,62,146/SE,5.7,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 15:00,12.9,1007.7,63,114/ESE,4.8,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 16:00,12.5,1006.8,67,118/ESE,3.3,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 17:00,12.5,1006.2,68,114/ESE,4.1,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 18:00,11.5,1006.3,72,109/ESE,4.4,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 19:00,11.3,1006.4,72,149/SSE,1.6,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 20:00,11.9,1006.4,67,61/ENE,1.3,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 21:00,11.7,1006.2,73,93/E,3.9,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 22:00,11,1005.8,76,88/E,2.2,0,54853,120.42,36.17,山东,青岛,崂山
4/4/2019 23:00,11,1005.4,75,6/N,0.6,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 0:00,11.4,1005,72,24/NNE,0.9,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 1:00,11.9,1004.7,64,291/WNW,1.7,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 2:00,11.8,1004.2,62,309/NW,0.8,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 3:00,11.8,1003.8,62,309/NW,3.2,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 4:00,12.5,1003.6,60,302/WNW,2.2,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 5:00,12.8,1003.9,60,298/WNW,1.6,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 6:00,13.4,1004.9,60,288/WNW,4.2,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 7:00,13.4,1005.6,61,308/NW,1.8,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 8:00,15.9,1006.2,52,100/E,1.3,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 9:00,16.6,1006.6,26,107/ESE,6.1,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 10:00,17.2,1006.8,23,132/SE,4.9,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 11:00,17.8,1006.2,19,111/ESE,7.1,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 12:00,17.3,1006.1,16,133/SE,5.8,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 13:00,16.4,1005.9,18,145/SE,6.3,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 14:00,13.8,1005.8,24,163/SSE,7.5,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 15:00,13,1005.1,32,148/SSE,5.7,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 16:00,12.9,1005.1,30,146/SE,5.9,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 17:00,13,1004.9,22,142/SE,5.5,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 18:00,12.2,1005.4,27,141/SE,4.9,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 19:00,11.9,1005.7,26,133/SE,4.9,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 20:00,11.6,1006,28,108/ESE,5.3,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 21:00,11.6,1006.1,27,136/SE,4.5,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 22:00,12,1005.8,25,138/SE,5,0,54853,120.42,36.17,山东,青岛,崂山
4/5/2019 23:00,11.5,1005,31,135/SE,4.7,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 0:00,11.5,1004.5,29,107/ESE,6.5,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 1:00,11.6,1004.7,39,115/ESE,3.4,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 2:00,11.2,1004,61,139/SE,3.4,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 3:00,11,1003.2,71,138/SE,4.3,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 4:00,11.2,1002.7,77,145/SE,2.9,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 5:00,11.2,1002.1,81,138/SE,3.5,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 6:00,10.9,1001.5,83,155/SSE,3.8,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 7:00,11.6,1001.4,82,149/SSE,3.5,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 8:00,13,1001.1,76,128/SE,2.4,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 9:00,14,1000.9,76,138/SE,2.7,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 10:00,15.2,1000.7,69,83/E,3.8,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 11:00,16.7,1000.4,65,107/ESE,3.3,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 12:00,18.7,999.7,59,116/ESE,2,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 13:00,20.6,999.1,52,74/ENE,2.7,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 14:00,14.1,999.3,75,150/SSE,4.3,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 15:00,16.2,999,67,155/SSE,2.5,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 16:00,15.8,999.2,67,153/SSE,3.7,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 17:00,16.2,999.7,65,104/ESE,1.6,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 18:00,15.1,1000.3,69,133/SE,2.3,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 19:00,13.8,1001.4,73,212/SSW,2.2,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 20:00,13.6,1002.5,74,310/NW,0.8,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 21:00,13.7,1003.2,74,186/S,0.6,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 22:00,13.1,1003.3,72,185/S,2.3,0,54853,120.42,36.17,山东,青岛,崂山
4/6/2019 23:00,13.4,1004,68,138/SE,1.2,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 0:00,12.2,1003.9,72,183/S,2.7,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 1:00,12.7,1004.2,70,329/NNW,1.1,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 2:00,13.3,1004.8,67,305/NW,4.8,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 3:00,12.4,1003,72,274/W,1,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 4:00,12.3,1002.9,69,313/NW,3.2,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 5:00,11.8,1003.5,75,283/WNW,4.6,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 6:00,12,1004.4,73,287/WNW,3.9,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 7:00,12.4,1005.4,68,6/N,2.2,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 8:00,13.7,1005.5,52,106/ESE,2.9,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 9:00,14.4,1006.2,28,227/SW,2.8,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 10:00,14.1,1007.1,41,299/WNW,4.4,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 11:00,14.4,1006.5,26,146/SE,5.6,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 12:00,15,1005.4,19,110/ESE,11.1,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 13:00,15.7,1004.6,11,108/ESE,10,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 14:00,15.4,1005.3,12,138/SE,8.7,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 15:00,14.5,1004.8,13,126/SE,7.4,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 16:00,13,1004.8,21,148/SSE,6.5,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 17:00,12.7,1004.6,19,153/SSE,6.7,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 18:00,12.3,1005.1,18,143/SE,5.8,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 19:00,11.4,1005.4,25,149/SSE,4.4,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 20:00,11.1,1005.8,26,157/SSE,4.4,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 21:00,10.9,1006.5,27,151/SSE,4.3,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 22:00,10.5,1006.3,29,143/SE,3.6,0,54853,120.42,36.17,山东,青岛,崂山
4/7/2019 23:00,10.4,1006.7,25,152/SSE,1.6,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 0:00,10.1,1006.3,29,148/SSE,3.1,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 1:00,9.7,1006.8,37,141/SE,1.2,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 2:00,8.9,1006.9,41,164/SSE,1,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 3:00,8.8,1006.9,50,171/S,2.2,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 4:00,8.3,1006.8,58,122/ESE,1.4,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 5:00,8.4,1006.9,57,167/SSE,1.1,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 6:00,8.4,1007.9,55,268/W,0.7,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 7:00,9.3,1008.7,52,301/WNW,1.9,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 8:00,10.7,1009.8,52,147/SSE,1.7,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 9:00,12.6,1010.2,36,39/NE,0.8,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 10:00,13.7,1010,16,140/SE,6.8,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 11:00,15,1010.1,12,132/SE,6.4,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 12:00,14.3,1010.5,13,106/ESE,7.9,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 13:00,13.8,1010.8,22,109/ESE,7.6,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 14:00,12.5,1009.9,24,107/ESE,11,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 15:00,12.2,1009.3,23,124/SE,7.7,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 16:00,12.2,1009.5,16,107/ESE,11.9,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 17:00,12.1,1009.6,13,103/ESE,12.2,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 18:00,11.6,1010,12,121/ESE,7.5,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 19:00,11.1,1010.8,14,117/ESE,5.9,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 20:00,10.9,1011,16,144/SE,7.6,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 21:00,10.8,1011.2,17,141/SE,7,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 22:00,10.9,1011.3,16,144/SE,7,0,54853,120.42,36.17,山东,青岛,崂山
4/8/2019 23:00,11.6,1011,14,114/ESE,5.4,0,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 0:00,12.3,1010.5,12,102/ESE,9.7,0,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 1:00,12.3,1009.4,12,91/E,9.8,0,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 2:00,11.9,1008.2,12,103/ESE,8.1,0,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 3:00,11.7,1008.4,13,125/SE,5,0,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 4:00,11.9,1007.2,11,106/ESE,16.4,0,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 5:00,11.3,1007.6,15,110/ESE,13.5,0,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 6:00,11.2,1007.3,17,107/ESE,9.4,0,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 7:00,11.7,1006.5,18,117/ESE,4.3,0,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 8:00,9.3,1007.5,43,55/NE,7.4,0.1,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 9:00,8,1007.4,58,34/NE,4.3,0.3,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 10:00,6.9,1006.9,75,100/E,3.7,2,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 11:00,7.1,1004,77,275/W,6.6,0.8,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 12:00,7.2,1002,83,298/WNW,4.7,0.8,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 13:00,7.3,1001.4,87,304/NW,7.6,2,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 14:00,6.8,1002.4,87,345/NNW,7.8,2.4,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 15:00,6.5,1003,86,355/N,10.2,1.2,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 16:00,6.2,1003.8,86,347/NNW,8.2,0.7,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 17:00,6.6,1003.7,85,344/NNW,6.8,0.2,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 18:00,6.8,1005,84,358/N,8.1,0.2,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 19:00,6.8,1005.7,82,3/N,6.7,0,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 20:00,6.8,1006.6,83,320/NW,9.2,0,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 21:00,6.5,1007.3,83,342/NNW,6.6,0,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 22:00,6.7,1008.3,80,355/N,10.2,0,54853,120.42,36.17,山东,青岛,崂山
4/9/2019 23:00,6.2,1009.1,86,322/NW,8.9,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 0:00,6.1,1009.6,85,326/NW,5,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 1:00,6,1009.3,85,324/NW,4.6,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 2:00,6.1,1009.6,85,346/NNW,4.1,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 3:00,6.2,1010.2,84,325/NW,4.1,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 4:00,6.5,1010.6,80,327/NNW,5.2,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 5:00,6.4,1011.2,78,321/NW,8.3,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 6:00,6.3,1011.3,76,323/NW,5.1,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 7:00,7.1,1012.2,69,315/NW,3.4,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 8:00,8.5,1012.3,61,302/WNW,6.1,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 9:00,10.3,1012.2,60,319/NW,4.4,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 10:00,11.6,1012.1,51,327/NNW,7.4,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 11:00,13,1011.5,47,317/NW,4.9,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 12:00,13.7,1010.7,46,340/NNW,4.5,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 13:00,15.1,1010.2,35,346/NNW,3.2,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 14:00,14.7,1009.7,35,327/NNW,9,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 15:00,14.7,1009.4,35,352/N,4.6,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 16:00,14.9,1009,33,348/NNW,6.5,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 17:00,14.2,1009.7,31,332/NNW,5.7,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 18:00,13.1,1010.2,34,331/NNW,4.4,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 19:00,12,1010.7,37,323/NW,3.7,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 20:00,11.1,1011,38,329/NNW,6,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 21:00,10.9,1011.1,40,323/NW,4.4,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 22:00,10.7,1010.7,37,330/NNW,4.1,0,54853,120.42,36.17,山东,青岛,崂山
4/10/2019 23:00,10.9,1010.4,35,325/NW,3.2,0,54853,120.42,36.17,山东,青岛,崂山
4/11/2019 0:00,10.4,1010,36,293/WNW,1.7,0,54853,120.42,36.17,山东,青岛,崂山
4/11/2019 1:00,9.3,1010.2,45,35/NE,0.9,0,54853,120.42,36.17,山东,青岛,崂山
4/11/2019 2:00,8.6,1009.8,49,265/W,1,0,54853,120.42,36.17,山东,青岛,崂山
4/11/2019 3:00,8.3,1009.9,51,332/NNW,0.8,0,54853,120.42,36.17,山东,青岛,崂山
4/11/2019 4:00,8,1009.5,50,294/WNW,0.7,0,54853,120.42,36.17,山东,青岛,崂山
4/11/2019 5:00,7.7,1009.5,54,296/WNW,1.7,0,54853,120.42,36.17,山东,青岛,崂山
4/11/2019 6:00,7.7,1009.6,53,302/WNW,2.4,0,54853,120.42,36.17,山东,青岛,崂山
4/11/2019 7:00,8.6,1010.2,50,264/W,0.9,0,54853,120.42,36.17,山东,青岛,崂山
4/11/2019 8:00,11.2,1010.9,38,163/SSE,0.6,0,54853,120.42,36.17,山东,青岛,崂山
4/11/2019 9:00,13.1,1011.5,34,99/E,3.2,0,54853,120.42,36.17,山东,青岛,崂山
4/11/2019 10:00,13.2,1011.7,35,128/SE,3,0,54853,120.42,36.17,山东,青岛,崂山
4/11/2019 11:00,13.5,1011.2,33,163/SSE,2.9,0,54853,120.42,36.17,山东,青岛,崂山
4/11/2019 12:00,14,1010.3,35,125/SE,4.5,0,54853,120.42,36.17,山东,青岛,崂山
