时间,温度℃,气压hPa,相对湿度%,风向/度,风速m/s,降水mm,测点,经度,纬度,,,
2020/5/2 8:00,16.6,1001.4,99,120/ESE,8.5,0.6,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 9:00,16.9,1001.1,96,110/ESE,9.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 10:00,15.8,1001.2,98,115/ESE,9.7,0.2,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 11:00,16.4,1000.1,97,119/ESE,8.9,0.1,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 12:00,15.8,999.7,99,112/ESE,8.1,1.1,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 13:00,15.5,999,100,121/ESE,6.3,0.5,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 14:00,15.4,998.4,100,120/ESE,5.1,0.2,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 15:00,15.1,998.1,100,108/ESE,4.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 16:00,15.2,997.3,100,152/SSE,4.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 17:00,14.7,997.1,100,114/ESE,7.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 18:00,14.5,997.2,100,119/ESE,6.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 19:00,14.6,997.5,100,154/SSE,3.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 20:00,14.7,997.8,100,138/SE,3.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 21:00,14.2,997.9,100,167/SSE,5.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 22:00,14.1,997.7,100,188/S,3.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/2 23:00,13.9,997.5,100,204/SSW,2.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 0:00,14.6,997.1,100,307/NW,3.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 1:00,15,996.7,100,311/NW,3.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 2:00,14.2,996.8,100,162/SSE,1.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 3:00,14.7,996.9,100,38/NE,1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 4:00,14.1,996.6,100,189/S,0.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 5:00,14.2,996.6,100,0/N,0.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 6:00,14.5,997.3,100,234/SW,0.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 7:00,14.8,998,100,216/SW,0.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 8:00,15.1,998.2,100,226/SW,1.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 9:00,15.8,998.4,100,130/SE,1.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 10:00,17,998.5,100,178/S,1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 11:00,18.8,998.3,87,166/SSE,4.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 12:00,20.7,998.1,81,127/SE,4.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 13:00,19,997.8,82,157/SSE,5.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 14:00,17.3,997.4,88,160/SSE,5.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 15:00,15.6,997.7,98,165/SSE,6.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 16:00,15.2,997.8,100,163/SSE,5.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 17:00,14.5,997.7,100,162/SSE,4.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 18:00,14.5,998,100,169/S,4.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 19:00,14.1,999.1,100,190/S,3.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 20:00,14.1,1000.2,100,158/SSE,2.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 21:00,13.7,1001,100,157/SSE,3.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 22:00,14.1,1001.5,100,81/E,0.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/3 23:00,14.1,1002.2,100,323/NW,3.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 0:00,14.1,1002.6,100,164/SSE,1.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 1:00,15.2,1003.3,100,313/NW,6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 2:00,14.4,1003.7,100,0/N,0.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 3:00,14.6,1003.9,100,105/ESE,1.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 4:00,16.7,1004.9,96,38/NE,7.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 5:00,16.6,1005.2,89,356/N,5.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 6:00,17,1003.3,88,265/W,15.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 7:00,16.5,1006.2,76,298/WNW,3.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 8:00,18.5,1006.9,62,328/NNW,5.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 9:00,19.2,1007.2,51,337/NNW,6.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 10:00,20.4,1007.3,43,317/NW,5.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 11:00,19.4,1006.7,54,152/SSE,4.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 12:00,18.3,1007,54,160/SSE,5.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 13:00,18.4,1006.9,53,174/S,5.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 14:00,18.1,1006.7,56,142/SE,4.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 15:00,16.5,1006.1,67,133/SE,4.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 16:00,16,1006.3,67,145/SE,4.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 17:00,15.4,1006,68,118/ESE,3.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 18:00,15.1,1006,67,147/SSE,2.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 19:00,14,1006.7,72,151/SSE,2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 20:00,13.9,1006.6,72,160/SSE,1.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 21:00,14.7,1006.7,60,313/NW,4.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 22:00,14.8,1006.9,53,331/NNW,5.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/4 23:00,13.5,1006.4,65,298/WNW,5.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 0:00,12.9,1006.3,67,307/NW,6.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 1:00,12.6,1005.7,66,305/NW,4.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 2:00,12.2,1005.4,66,305/NW,4.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 3:00,12.2,1004.7,62,299/WNW,3.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 4:00,12.3,1005.3,59,294/WNW,5.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 5:00,12.3,1004.7,53,334/NNW,2.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 6:00,12.1,1005.3,56,293/WNW,7.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 7:00,10.8,1007.1,71,322/NW,9.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 8:00,10.2,1006.7,86,327/NNW,1.9,1.1,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 9:00,10.9,1005.8,86,156/SSE,1.6,2.9,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 10:00,13.1,1006.4,84,310/NW,5.3,0.2,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 11:00,13.6,1005.8,85,317/NW,3.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 12:00,16.3,1005.8,77,156/SSE,3.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 13:00,15.1,1005.4,79,154/SSE,5.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 14:00,15.1,1005,78,174/S,3.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 15:00,15.2,1005.1,76,171/S,3.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 16:00,14.1,1004.9,80,189/S,4.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 17:00,13,1004.8,82,174/S,5.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 18:00,12.4,1005.1,85,176/S,4.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 19:00,11.9,1005.6,89,152/SSE,3.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 20:00,11.6,1006.2,91,154/SSE,2.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 21:00,11.3,1006.6,93,156/SSE,1.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 22:00,11,1006.5,91,20/NNE,0.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/5 23:00,10.9,1006.6,92,310/NW,3.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 0:00,10.9,1006.2,86,329/NNW,2.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 1:00,11.6,1006.1,82,305/NW,3.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 2:00,11.4,1006.2,86,322/NW,2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 3:00,11,1006.7,91,308/NW,1.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 4:00,10.6,1007.4,93,312/NW,4.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 5:00,10.8,1007.7,95,315/NW,2.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 6:00,11.7,1007.9,96,338/NNW,2.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 7:00,14.8,1008.4,80,38/NE,1.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 8:00,17.3,1008.8,70,150/SSE,2.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 9:00,18.2,1009,65,142/SE,3.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 10:00,17.3,1009.3,67,177/S,4.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 11:00,16.1,1009.3,70,162/SSE,8.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 12:00,16.6,1009,67,163/SSE,7.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 13:00,16.9,1009,67,163/SSE,6.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 14:00,17.5,1008.7,62,158/SSE,6.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 15:00,16.9,1008.5,63,157/SSE,7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 16:00,16.5,1008.6,67,155/SSE,6.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 17:00,15.7,1007.9,70,152/SSE,4.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 18:00,15.5,1007.4,73,180/S,3.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 19:00,14.7,1008.1,72,173/S,3.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 20:00,14.1,1008.7,69,172/S,1.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 21:00,13.6,1009.4,68,193/SSW,1.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 22:00,13.1,1009.4,62,227/SW,1.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/6 23:00,12.8,1009.1,47,203/SSW,1.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 0:00,12.9,1008.9,40,181/S,1.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 1:00,13.2,1009,52,163/SSE,1.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 2:00,13.1,1008.5,46,168/SSE,2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 3:00,13.5,1008.1,44,171/S,2.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 4:00,13.4,1008,49,180/S,4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 5:00,13.8,1007.9,58,172/S,4.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 6:00,14.1,1007.9,62,164/SSE,3.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 7:00,14.6,1008.3,63,155/SSE,7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 8:00,16.6,1008.7,58,164/SSE,3.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 9:00,19.5,1008.8,48,112/ESE,8.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 10:00,18,1008.7,58,131/SE,5.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 11:00,18.2,1008.5,58,150/SSE,6.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 12:00,18.1,1008.5,60,125/SE,7.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 13:00,17.5,1008.6,60,132/SE,6.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 14:00,17.8,1008.2,62,116/ESE,7.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 15:00,17.4,1007.7,63,122/ESE,7.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 16:00,16.8,1007.2,66,128/SE,6.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 17:00,17,1006.6,64,136/SE,6.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 18:00,16.5,1006.6,68,114/ESE,9.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 19:00,15.5,1006.9,76,121/ESE,9.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 20:00,15.5,1006.9,74,129/SE,8.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 21:00,15.4,1007,75,147/SSE,7.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 22:00,15.2,1006.8,77,114/ESE,6.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/7 23:00,15.6,1006.5,72,129/SE,6.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 0:00,15.5,1005.8,73,123/ESE,7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 1:00,15.7,1005.4,70,116/ESE,8.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 2:00,15.6,1005.3,71,122/ESE,8.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 3:00,15.7,1004.7,66,115/ESE,11.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 4:00,15.5,1003.6,66,113/ESE,10.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 5:00,15.5,1002.8,67,120/ESE,14.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 6:00,15.1,1002.6,75,124/SE,11.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 7:00,14.9,1002.4,85,111/ESE,11.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 8:00,14.3,1002.6,95,112/ESE,13.6,2,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 9:00,14.3,1001.2,98,110/ESE,16,6.4,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 10:00,14.6,999.9,98,106/ESE,13.8,7,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 11:00,15.2,999,97,123/ESE,11.4,8.3,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 12:00,15.4,1000,97,125/SE,7.4,16.2,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 13:00,15.5,997.7,96,109/ESE,10.1,16,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 14:00,16,996.7,93,131/SE,9.5,1.5,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 15:00,16.3,995,91,96/E,13.7,0.2,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 16:00,15.4,995,94,153/SSE,4.9,0.3,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 17:00,15.1,995.2,98,226/SW,2.3,1.5,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 18:00,15.4,994.3,97,308/NW,5.6,0.4,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 19:00,15.2,994.8,99,331/NNW,3,0.2,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 20:00,15.3,995.5,99,308/NW,4.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 21:00,15.1,995.5,100,315/NW,8.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 22:00,14.9,995.7,99,329/NNW,7.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/8 23:00,13.6,995.8,99,331/NNW,8.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 0:00,12.8,995.9,99,310/NW,10.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 1:00,12,996.1,99,309/NW,12.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 2:00,12.2,996.4,99,333/NNW,9.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 3:00,12.2,996.4,97,323/NW,11.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 4:00,12.2,996.4,95,314/NW,15.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 5:00,11.7,996.3,94,321/NW,13.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 6:00,11.8,996.9,91,316/NW,12.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 7:00,12.1,997.5,90,322/NW,12.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 8:00,12.9,997.9,86,309/NW,12.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 9:00,14,998.1,81,312/NW,11.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 10:00,14.5,998.2,82,309/NW,13.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 11:00,14.6,998.3,84,317/NW,11.5,0.1,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 12:00,16.2,998.1,77,322/NW,9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 13:00,15,999.1,84,322/NW,9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 14:00,14.8,999.3,85,324/NW,12.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 15:00,14.6,1000,86,309/NW,11,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 16:00,14.4,1000.3,87,316/NW,8.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 17:00,14.3,1000.4,87,329/NNW,10.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 18:00,14.4,1000.6,86,330/NNW,10.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 19:00,14.8,1000.8,82,335/NNW,13.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 20:00,14.8,1001.5,83,330/NNW,11.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 21:00,15,1002,82,324/NW,5.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 22:00,14.4,1002.6,88,315/NW,6.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/9 23:00,14.1,1002.4,92,288/WNW,5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 0:00,13.9,1002.5,95,306/NW,4.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 1:00,14.1,1002.6,95,310/NW,3.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 2:00,14.6,1002.8,91,322/NW,6.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 3:00,14.7,1002.7,92,314/NW,5.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 4:00,15.1,1002.6,89,332/NNW,6.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 5:00,15.3,1003,86,316/NW,4.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 6:00,15.7,1003.2,84,323/NW,4.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 7:00,16,1003.9,86,315/NW,4.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 8:00,17.5,1004,76,308/NW,7.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 9:00,19,1004.1,70,306/NW,6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 10:00,19.9,1004,67,285/WNW,6.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 11:00,21.4,1003.8,65,295/WNW,7.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 12:00,21.9,1003.6,61,276/W,5.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 13:00,22,1003.3,59,232/SW,6.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 14:00,22.9,1003.1,59,248/WSW,3.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 15:00,23.1,1002.8,57,179/S,3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 16:00,21.5,1002.9,58,225/SW,6.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 17:00,21,1003.2,62,101/E,3.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 18:00,19.8,1003.2,68,111/ESE,3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 19:00,18,1003.8,75,124/SE,2.7,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 20:00,16.9,1004.6,82,197/SSW,1.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 21:00,16.8,1005.5,83,191/S,0.8,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 22:00,16.6,1006.1,83,0/N,0.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/10 23:00,16.8,1006.3,85,319/NW,0.6,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/11 0:00,16.7,1006,83,147/SSE,0.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/11 1:00,15.9,1005.5,90,184/S,1.5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/11 2:00,15.7,1005.2,91,130/SE,0.9,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/11 3:00,15.1,1004.8,93,182/S,1.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/11 4:00,14.6,1004.6,94,4/N,0.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/11 5:00,16.1,1004.8,81,310/NW,4.4,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/11 6:00,16.1,1004.9,79,305/NW,5,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/11 7:00,17.8,1005.5,72,302/WNW,4.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/11 8:00,19.7,1005.3,63,307/NW,4.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/11 9:00,20.3,1005,60,148/SSE,3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/11 10:00,21.7,1005,52,318/NW,6.1,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/11 11:00,22,1004,38,313/NW,6.2,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/11 12:00,22.2,1003,40,315/NW,9.3,0,54853,120.42,36.17,山东,青岛,崂山
2020/5/11 13:00,18.7,1003.7,47,308/NW,12.2,0,54853,120.42,36.17,山东,青岛,崂山
